а	a
май	m a j
майга	m a j gh a
майда	m a j d a
майдаланып	m a j d a l a n ih p
майдалап	m a j d a l a p
майдалыгында	m a j d a l ih gh ih n d a
майдамайда	m a j d a m a j d a
майдандуу	m a j d a n d u u
майланышкан	m a j l a n ih sh q a n
майланышып	m a j l a n ih sh ih p
майлап	m a j l a p
майлуу	m a j l u u
майпаңдап	m a j p a ng d a p
майсайын	m a j s a j ih n
майсанга	m a j s a n gh a
майсандуу	m a j s a n d u u
майтара	m a j t a r a
майтарылган	m a j t a r ih l gh a n
майтарылчу	m a j t a r ih l tsh u
майтарышы	m a j t a r ih sh ih
майтике	m a j t i k e
майын	m a j ih n
майыша	m a j ih sh a
макал	m a q a l
макилери	m a k i l e r i
макиси	m a k i s i
макмалдан	m a q m a l d a n
максат	m a q s a t
максатка	m a q s a t q a
максатты	m a q s a t t ih
максаттын	m a q s a t t ih n
максаты	m a q s a t ih
максатын	m a q s a t ih n
максатына	m a q s a t ih n a
максатынын	m a q s a t ih n ih n
мактабайт	m a q t a w a j t
мактаган	m a q t a gh a n
мактады	m a q t a d ih
мактай	m a q t a j
мактайсыңар	m a q t a j s ih ng a r
мактайын	m a q t a j ih n
мактанган	m a q t a n gh a n
мактанчу	m a q t a n tsh u
мактанып	m a q t a n ih p
мактап	m a q t a p
мактаса	m a q t a s a
мактачы	m a q t a tsh ih
макташкан	m a q t a sh q a n
макташты	m a q t a sh t ih
макташып	m a q t a sh ih p
мактоо	m a q t o o
мактоодон	m a q t o o d o n
мактоонун	m a q t o o n u n
мактоосуна	m a q t o o s u n a
мактоосунан	m a q t o o s u n a n
макул	m a q u l
макулбу	m a q u l b u
макулдашат	m a q u l d a sh a t
макулдаштык	m a q u l d a sh t ih к
макулдашып	m a q u l d a sh ih p
макулдук	m a q u l d u к
макулмун	m a q u l m u n
макулсуңбу	m a q u l s u ng b u
макулуктардын	m a q u l u q t a r d ih n
мал	m a l
малабек	m a l a b e к
малабектин	m a l a b e k t i n
малай	m a l a j
малайга	m a l a j gh a
малайдан	m a l a j d a n
малайдыкы	m a l a j d ih q ih
малайдын	m a l a j d ih n
малайларды	m a l a j l a r d ih
малайы	m a l a j ih
малайын	m a l a j ih n
малайына	m a l a j ih n a
малакайын	m a l a q a j ih n
малга	m a l gh a
малда	m a l d a
малдан	m a l d a n
малдар	m a l d a r
малдарды	m a l d a r d ih
малдары	m a l d a r ih
малдарын	m a l d a r ih n
малдарынын	m a l d a r ih n ih n
малдаш	m a l d a sh
малдуу	m a l d u u
малдуурак	m a l d u u r a к
малды	m a l d ih
малдыбаев	m a l d ih w a e в
малдын	m a l d ih n
малсалыңыз	m a l s a l ih ng ih z
малчы	m a l tsh ih
малчылар	m a l tsh ih l a r
малчыларга	m a l tsh ih l a r gh a
малчыларды	m a l tsh ih l a r d ih
малы	m a l ih
малыбыз	m a l ih w ih z
малын	m a l ih n
малынаарын	m a l ih n a a r ih n
малынан	m a l ih n a n
малынбайт	m a l ih n b a j t
малынын	m a l ih n ih n
малынып	m a l ih n ih p
малыңыз	m a l ih ng ih z
мамагты	m a m a gh t ih
мамат	m a m a t
маматка	m a m a t q a
маматсаматың	m a m a t s a m a t ih ng
маматта	m a m a t t a
маматтан	m a m a t t a n
маматты	m a m a t t ih
маматтыкы	m a m a t t ih q ih
маматтыкына	m a m a t t ih q ih n a
маматтыкында	m a m a t t ih q ih n d a
маматтын	m a m a t t ih n
маматчы	m a m a t tsh ih
маматымды	m a m a t ih m d ih
мамиле	m a m i l e
мамилеге	m a m i l e g e
мамилелер	m a m i l e l e r
мамилелешүүдөн	m a m i l e l e sh y y d oe n
мамилени	m a m i l e n i
мамилеси	m a m i l e s i
мамилесинде	m a m i l e s i n d e
мамилесине	m a m i l e s i n e
мамилесинен	m a m i l e s i n e n
мамиордунан	m a m i o r d u n a n
мамлекетае	m a m l e k e t a e
мамлекетке	m a m l e k e t k e
мамлекеттик	m a m l e k e t t i к
мамыга	m a m ih gh a
мамыда	m a m ih d a
мамыкка	m a m ih q q a
мамыр	m a m ih r
мамырга	m a m ih r gh a
мамырды	m a m ih r d ih
мамырдын	m a m ih r d ih n
мамысынын	m a m ih s ih n ih n
манабы	m a n a w ih
манабынын	m a n a w ih n ih n
манап	m a n a p
манапка	m a n a p q a
манаптар	m a n a p t a r
манаптарга	m a n a p t a r gh a
манаптарды	m a n a p t a r d ih
манаптардын	m a n a p t a r d ih n
манаптары	m a n a p t a r ih
манаптарын	m a n a p t a r ih n
манаптарынын	m a n a p t a r ih n ih n
манаптын	m a n a p t ih n
манас	m a n a s
манаска	m a n a s q a
манастан	m a n a s t a n
манасты	m a n a s t ih
манастын	m a n a s t ih n
манасчы	m a n a s tsh ih
манат	m a n a t
мандалак	m a n d a l a к
мандалактын	m a n d a l a q t ih n
мандат	m a n d a t
мандатым	m a n d a t ih m
мандатың	m a n d a t ih ng
мандаш	m a n d a sh
манжалары	m a n zh a l a r ih
манжаларын	m a n zh a l a r ih n
мансабын	m a n s a w ih n
мансад	m a n s a d
мансап	m a n s a p
мансапка	m a n s a p q a
мансаптан	m a n s a p t a n
мансапты	m a n s a p t ih
манчалары	m a n tsh a l a r ih
мапат	m a p a t
марка	m a r q a
маркум	m a r q u m
маркумга	m a r q u m gh a
маркумдун	m a r q u m d u n
март	m a r t
мартабалуу	m a r t a w a l u u
мартабасы	m a r t a w a s ih
мартабасын	m a r t a w a s ih n
мартабасына	m a r t a w a s ih n a
мартабасынан	m a r t a w a s ih n a n
мартабаңарга	m a r t a w a ng a r gh a
марттыгы	m a r t t ih gh ih
марттыгын	m a r t t ih gh ih n
марттыгына	m a r t t ih gh ih n a
марыбасын	m a r ih w a s ih n
мас	m a s
маселе	m a s e l e
маселелер	m a s e l e l e r
маселелерди	m a s e l e l e r d i
маселен	m a s e l e n
маселени	m a s e l e n i
маскара	m a s q a r a
маскаралайт	m a s q a r a l a j t
маскөө	m a s k oe oe
маскөөгө	m a s k oe oe g oe
матай	m a t a j
матайдан	m a t a j d a n
матайдын	m a t a j d ih n
матаймын	m a t a j m ih n
матайы	m a t a j ih
матек	m a t e к
матырып	m a t ih r ih p
махабаттын	m a h a w a t t ih n
махаббат	m a h a b b a t
махаббатка	m a h a b b a t q a
махаббаттын	m a h a b b a t t ih n
махаббаты	m a h a b b a t ih
махаббатыбыз	m a h a b b a t ih w ih z
махаббатымды	m a h a b b a t ih m d ih
махаббатын	m a h a b b a t ih n
махаббатың	m a h a b b a t ih ng
махал	m a h a l
маш	m a sh
машак	m a sh a к
машакты	m a sh a q t ih
машиналар	m a sh i n a l a r
машыккан	m a sh ih q q a n
машыктырып	m a sh ih q t ih r ih p
мащак	m a sh a к
маң	m a ng
маңгинин	m a ng g i n i n
маңдай	m a ng d a j
маңдайда	m a ng d a j d a
маңдайдан	m a ng d a j d a n
маңдайлаш	m a ng d a j l a sh
маңдайлаша	m a ng d a j l a sh a
маңдайтескейге	m a ng d a j t e s k e j g e
маңдайы	m a ng d a j ih
маңдайын	m a ng d a j ih n
маңдайына	m a ng d a j ih n a
маңдайынан	m a ng d a j ih n a n
маңдайында	m a ng d a j ih n d a
маңдайындагы	m a ng d a j ih n d a gh ih
маңка	m a ng q a
маңкаиан	m a ng q a i a n
маңкайган	m a ng q a j gh a n
маңмаң	m a ng m a ng
ме	m e
медер	m e d e r
мезгил	m e z g i l
мейкин	m e j k i n
мейкини	m e j k i n i
мейкининен	m e j k i n i n e n
мейли	m e j l i
мейлиң	m e j l i ng
мейман	m e j m a n
мейманбы	m e j m a n b ih
мейманга	m e j m a n gh a
мейманда	m e j m a n d a
меймандады	m e j m a n d a d ih
меймандан	m e j m a n d a n
меймандар	m e j m a n d a r
меймандарга	m e j m a n d a r gh a
меймандарда	m e j m a n d a r d a
меймандардан	m e j m a n d a r d a n
меймандарды	m e j m a n d a r d ih
меймандардын	m e j m a n d a r d ih n
меймандарта	m e j m a n d a r t a
меймандарын	m e j m a n d a r ih n
меймандарына	m e j m a n d a r ih n a
меймандарыңызга	m e j m a n d a r ih ng ih z gh a
меймандашат	m e j m a n d a sh a t
меймандос	m e j m a n d o s
меймандостугу	m e j m a n d o s t u gh u
меймандостугун	m e j m a n d o s t u gh u n
меймандостугуна	m e j m a n d o s t u gh u n a
меймандостук	m e j m a n d o s t u к
мейманды	m e j m a n d ih
меймандын	m e j m a n d ih n
мейманмын	m e j m a n m ih n
меймансыз	m e j m a n s ih z
мейманы	m e j m a n ih
мейманым	m e j m a n ih m
мейманын	m e j m a n ih n
мейманына	m e j m a n ih n a
мейманыңызды	m e j m a n ih ng ih z d ih
мекемеге	m e k e m e g e
мекемелерге	m e k e m e l e r g e
мекеменин	m e k e m e n i n
мекен	m e k e n
мекени	m e k e n i
мекенине	m e k e n i n e
мектебине	m e k t e b i n e
мектеп	m e k t e p
мектепти	m e k t e p t i
мелжиген	m e l zh i g e n
мелмилдеген	m e l m i l d e g e n
мелодия	m e l o d i j a
мелодиясына	m e l o d i j a s ih n a
мелтиреген	m e l t i r e g e n
мелтирей	m e l t i r e j
мелтиреп	m e l t i r e p
мелтирете	m e l t i r e t e
мелтирешсе	m e l t i r e sh s e
мелтирешти	m e l t i r e sh t i
мелткалт	m e l t q a l t
мемиреди	m e m i r e d i
мемиреп	m e m i r e p
мемирешип	m e m i r e sh i p
мемирешкен	m e m i r e sh k e n
мемирешти	m e m i r e sh t i
мемирөөдө	m e m i r oe oe d oe
мен	m e n
менде	m e n d e
мендей	m e n d e j
менден	m e n d e n
мене	m e n e
менев	m e n e в
менен	m e n e n
мененби	m e n e n b i
мененден	m e n e n d e n
мененки	m e n e n k i
менея	m e n e j a
менең	m e n e ng
мени	m e n i
меники	m e n i k i
менин	m e n i n
менман	m e n m a n
менмин	m e n m i n
менминби	m e n m i n b i
менчик	m e n tsh i к
менчиктерде	m e n tsh i k t e r d e
менчилеп	m e n tsh i l e p
менөн	m e n oe n
мепеи	m e p e i
мепен	m e p e n
мергендин	m e r g e n d i n
мергенчилик	m e r g e n tsh i l i к
меркиге	m e r k i g e
мертебе	m e r t e b e
мертинмек	m e r t i n m e к
мес	m e s
мет	m e t
мечит	m e tsh i t
мешке	m e sh k e
мештин	m e sh t i n
меыен	m e ih e n
меңди	m e ng d i
меңдүү	m e ng d y y
мизи	m i z i
мииип	m i i i p
милдет	m i l d e t
милдети	m i l d e t i
милдетим	m i l d e t i m
милдетин	m i l d e t i n
милдеттен	m i l d e t t e n
милдеттенишип	m i l d e t t e n i sh i p
милдеттер	m i l d e t t e r
милдетти	m i l d e t t i
милиционер	m i l i ts i o n e r
милиционерге	m i l i ts i o n e r g e
милиционердин	m i l i ts i o n e r d i n
милиция	m i l i ts i j a
милицияга	m i l i ts i j a gh a
милицияны	m i l i ts i j a n ih
милициянын	m i l i ts i j a n ih n
милиңия	m i l i ng i j a
мин	m i n
минген	m i n g e n
мингенге	m i n g e n g e
мингенде	m i n g e n d e
мингендер	m i n g e n d e r
мингени	m i n g e n i
мингизгенсип	m i n g i z g e n s i p
мингизгиси	m i n g i z g i s i
мингизем	m i n g i z e m
мингизин	m i n g i z i n
мингизип	m i n g i z i p
мингизиптир	m i n g i z i p t i r
мингизишти	m i n g i z i sh t i
минди	m i n d i
миндиң	m i n d i ng
минерлерге	m i n e r l e r g e
минип	m i n i p
минишип	m i n i sh i p
минмекчи	m i n m e k tsh i
минсең	m i n s e ng
минтип	m i n t i p
минутада	m i n u t a d a
минуталардын	m i n u t a l a r d ih n
минүүгө	m i n y y g oe
мисал	m i s a l
мисалы	m i s a l ih
митаам	m i t a a m
митаамдыгын	m i t a a m d ih gh ih n
митаамдыкка	m i t a a m d ih q q a
митингди	m i t i n гd i
мишанын	m i sh a n ih n
миң	m i ng
миңдеген	m i ng d e g e n
мйнтип	m j n t i p
мобереги	m o b e r e g i
мобу	m o w u
мойногунун	m o j n o gh u n u n
мойнок	m o j n o к
мойнокту	m o j n o q t u
мойну	m o j n u
мойнукан	m o j n u q a n
мойнума	m o j n u m a
мойнумда	m o j n u m d a
мойнун	m o j n u n
мойнуна	m o j n u n a
мойнунан	m o j n u n a n
мойнунда	m o j n u n d a
мойнуңарга	m o j n u ng a r gh a
мокоткондугу	m o q o t q o n d u gh u
мол	m o l
молдо	m o l d o
молдого	m o l d o gh o
молдодон	m o l d o d o n
молдоке	m o l d o k e
молдокем	m o l d o k e m
молдокул	m o l d o q u l
молдолор	m o l d o l o r
молдолордо	m o l d o l o r d o
молдолордой	m o l d o l o r d o j
молдолорду	m o l d o l o r d u
молдолордун	m o l d o l o r d u n
молдолугунун	m o l d o l u gh u n u n
молдолукка	m o l d o l u q q a
молдону	m o l d o n u
молдонун	m o l d o n u n
молдосуна	m o l d o s u n a
молдосунан	m o l d o s u n a n
молу	m o l u
момпосуй	m o m p o s u j
момпосуйдун	m o m p o s u j d u n
момун	m o m u n
момуп	m o m u p
момуюп	m o m u j u p
мончого	m o n tsh o gh o
мончогун	m o n tsh o gh u n
мончок	m o n tsh o к
мончокторуна	m o n tsh o q t o r u n a
мончоктотуп	m o n tsh o q t o t u p
мооку	m o o q u
моокун	m o o q u n
моокусу	m o o q u s u
моокуңар	m o o q u ng a r
морунан	m o r u n a n
москвага	m o s квa gh a
москвада	m o s квa d a
москвадан	m o s квa d a n
мостоюп	m o s t o j u p
моюн	m o j u n
моюнга	m o j u n gh a
моюндар	m o j u n d a r
моюндарын	m o j u n d a r ih n
моюндашып	m o j u n d a sh ih p
моюндугуң	m o j u n d u gh u ng
мтай	m t a j
мугалим	m u gh a l i m
мугалимге	m u gh a l i m g e
мугалимден	m u gh a l i m d e n
мугалимдерин	m u gh a l i m d e r i n
мугалимдик	m u gh a l i m d i к
мугалимдин	m u gh a l i m d i n
мугалимин	m u gh a l i m i n
мудаасын	m u d a a s ih n
мудалап	m u d a l a p
мудалуу	m u d a l u u
мудасын	m u d a s ih n
мужук	m u zh u к
муз	m u z
муздак	m u z d a к
музоо	m u z o o
музоолуу	m u z o o l u u
музыка	m u z ih q a
музыкаларды	m u z ih q a l a r d ih
музыкалаштырып	m u z ih q a l a sh t ih r ih p
музыкалык	m u z ih q a l ih к
музыкант	m u z ih q a n t
музыкантка	m u z ih q a n t q a
музыканттары	m u z ih q a n t t a r ih
музыканы	m u z ih q a n ih
музыканын	m u z ih q a n ih n
музыкасы	m u z ih q a s ih
музыкасынын	m u z ih q a s ih n ih n
музыковедге	m u z ih q o вe d g e
музыковеди	m u z ih q o вe d i
мукактанды	m u q a q t a n d ih
мукамдуу	m u q a m d u u
мукамы	m u q a m ih
мукамын	m u q a m ih n
мукамында	m u q a m ih n d a
муктаждууларга	m u q t a zh d u u l a r gh a
мунажаттуу	m u n a zh a t t u u
мунарык	m u n a r ih к
мунарыктап	m u n a r ih q t a p
мундирин	m u n d i r i n
мунсуз	m u n s u z
муну	m u n u
мунун	m u n u n
мунусу	m u n u s u
мунусуна	m u n u s u n a
мунуң	m u n u ng
мунуңду	m u n u ng d u
мупмуздак	m u p m u z d a к
мупун	m u p u n
мурас	m u r a s
мурастын	m u r a s t ih n
мураталы	m u r a t a l ih
мураталыбыз	m u r a t a l ih w ih z
мураталыга	m u r a t a l ih gh a
мураталылардын	m u r a t a l ih l a r d ih n
мураталыны	m u r a t a l ih n ih
мураталынын	m u r a t a l ih n ih n
мураталысы	m u r a t a l ih s ih
мурда	m u r d a
мурдагы	m u r d a gh ih
мурдагыга	m u r d a gh ih gh a
мурдагыдай	m u r d a gh ih d a j
мурдагыдан	m u r d a gh ih d a n
мурдагысынан	m u r d a gh ih s ih n a n
мурдараак	m u r d a r a a к
мурдаь1	m u r d a ь1
мурду	m u r d u
мурдун	m u r d u n
мурдуна	m u r d u n a
мурдунан	m u r d u n a n
мурдунун	m u r d u n u n
мурдуңду	m u r d u ng d u
мурун	m u r u n
мурунга	m u r u n gh a
мурунку	m u r u n q u
мурункудай	m u r u n q u d a j
мурункудан	m u r u n q u d a n
мурункудаң	m u r u n q u d a ng
мурункулардын	m u r u n q u l a r d ih n
мурункусуна	m u r u n q u s u n a
мурункусунан	m u r u n q u s u n a n
мурункусундай	m u r u n q u s u n d a j
мурункусунун	m u r u n q u s u n u n
мурунтан	m u r u n t a n
мурунтугун	m u r u n t u gh u n
муруну	m u r u n u
муруп	m u r u p
мурут	m u r u t
муруттар	m u r u t t a r
муруттары	m u r u t t a r ih
муруттун	m u r u t t u n
муруттуу	m u r u t t u u
муруту	m u r u t u
мурутун	m u r u t u n
мурутунан	m u r u t u n a n
мурчуйду	m u r tsh u j d u
мурчуюмуш	m u r tsh u j u m u sh
мурчуюп	m u r tsh u j u p
мурчуюшкан	m u r tsh u j u sh q a n
мурчуюшуп	m u r tsh u j u sh u p
мурчуя	m u r tsh u j a
мурчуят	m u r tsh u j a t
муса	m u s a
мусанын	m u s a n ih n
мусапыр	m u s a p ih r
мусулман	m u s u l m a n
мусулманды	m u s u l m a n d ih
мусулманча	m u s u l m a n tsh a
мутаке	m u t a k e
мутакем	m u t a k e m
мутакемде	m u t a k e m d e
мутакемди	m u t a k e m d i
мутакемдин	m u t a k e m d i n
мутакең	m u t a k e ng
мууздайм	m u u z d a j m
мууздап	m u u z d a p
муундары	m u u n d a r ih
муунжүүнү	m u u n zh y y n y
мууну	m u u n u
муунун	m u u n u n
муунуп	m u u n u p
муштады	m u sh t a d ih
мушташкан	m u sh t a sh q a n
муштум	m u sh t u m
муштумдар	m u sh t u m d a r
муыуңар	m u ih u ng a r
муюп	m u j u p
муң	m u ng
муңайтпачы	m u ng a j t p a tsh ih
муңайым	m u ng a j ih m
муңайымдуу	m u ng a j ih m d u u
муңбаган	m u ng b a gh a n
муңбайт	m u ng b a j t
муңбас	m u ng b a s
муңга	m u ng gh a
муңдашар	m u ng d a sh a r
муңдашы	m u ng d a sh ih
муңдуу	m u ng d u u
муңзардын	m u ng z a r d ih n
муңканган	m u ng q a n gh a n
муңкантып	m u ng q a n t ih p
муңканышы	m u ng q a n ih sh ih
муңу	m u ng u
муңун	m u ng u n
мывдай	m ih вd a j
мыгый	m ih gh ih j
мыжыгып	m ih zh ih gh ih p
мыйыгынан	m ih j ih gh ih n a n
мыкачылыкка	m ih q a tsh ih l ih q q a
мыкка	m ih q q a
мыкты	m ih q t ih
мыктыбек	m ih q t ih b e к
мыктыбекти	m ih q t ih b e k t i
мыктыбектин	m ih q t ih b e k t i n
мыктылары	m ih q t ih l a r ih
мыктыларын	m ih q t ih l a r ih n
мыктылык	m ih q t ih l ih к
мыкчыган	m ih q tsh ih gh a n
мыкчый	m ih q tsh ih j
мыкчыят	m ih q tsh ih j a t
мыкчыңдап	m ih q tsh ih ng d a p
мылтык	m ih l t ih к
мылтыктарын	m ih l t ih q t a r ih n
мына	m ih n a
мынаана	m ih n a a n a
мынасы	m ih n a s ih
мында	m ih n d a
мындагы	m ih n d a gh ih
мындаиды	m ih n d a i d ih
мындай	m ih n d a j
мындайда	m ih n d a j d a
мындайды	m ih n d a j d ih
мындайлардын	m ih n d a j l a r d ih n
мындайраак	m ih n d a j r a a к
мындайча	m ih n d a j tsh a
мындамын	m ih n d a m ih n
мындан	m ih n d a n
мынча	m ih n tsh a
мынчалык	m ih n tsh a l ih к
мырза	m ih r z a
мырзага	m ih r z a gh a
мырзадан	m ih r z a d a n
мырзалар	m ih r z a l a r
мырзалардын	m ih r z a l a r d ih n
мырзаны	m ih r z a n ih
мырзанын	m ih r z a n ih n
мырзасына	m ih r z a s ih n a
мырзасынын	m ih r z a s ih n ih n
мырзаң	m ih r z a ng
мырзаңы	m ih r z a ng ih
мыскылдуу	m ih s q ih l d u u
мышык	m ih sh ih к
мыыдай	m ih ih d a j
мыяда	m ih j a d a
мэлдону	m eh l d o n u
мээлерине	m eh eh l e r i n e
мээлүүн	m eh eh l y y n
мээнет	m eh eh n e t
мээнети	m eh eh n e t i
мээнеттен	m eh eh n e t t e n
мээнеттерди	m eh eh n e t t e r d i
мээнеттүү	m eh eh n e t t y y
мээримине	m eh eh r i m i n e
мээримсиз	m eh eh r i m s i z
мээси	m eh eh s i
мээң	m eh eh ng
мүдөөсу	m y d oe oe s u
мүдөөсүн	m y d oe oe s y n
мүдөөсүнө	m y d oe oe s y n oe
мүйүз	m y j y z
мүйүздөргө	m y j y z d oe r g oe
мүйүзүбүз	m y j y z y b y z
мүйүзүң	m y j y z y ng
мүлжүбөй	m y l zh y b oe j
мүлжүйтүп	m y l zh y j t y p
мүлжүшкөнү	m y l zh y sh k oe n y
мүлк	m y l к
мүлксүлк	m y l кs y l к
мүлкү	m y l k y
мүлкүңдү	m y l k y ng d y
мүмкүн	m y m k y n
мүмкүндүк	m y m k y n d y к
мүмкүнчүлүгү	m y m k y n tsh y l y g y
мүмкүнчүлүк	m y m k y n tsh y l y к
мүнүшкөр	m y n y sh k oe r
мүнөз	m y n oe z
мүнөздүү	m y n oe z d y y
мүнөзү	m y n oe z y
мүнөзүм	m y n oe z y m
мүнөзүнүн	m y n oe z y n y n
мүрзөгө	m y r z oe g oe
мүрзөлөр	m y r z oe l oe r
мүрзөсүнүн	m y r z oe s y n y n
мүрзөсүнө	m y r z oe s y n oe
мүрт	m y r t
мүрүндөй	m y r y n d oe j
мүчолүккө	m y tsh o l y k k oe
мүчүлүш	m y tsh y l y sh
мүчө	m y tsh oe
мүчөм	m y tsh oe m
мүчөсү	m y tsh oe s y
мүшкүл	m y sh k y l
мүңгүрөп	m y ng g y r oe p
мүңкүрөшө	m y ng k y r oe sh oe
мүүн	m y y n
мөгдөгөнүңдү	m oe g d oe g oe n y ng d y
мөгдөп	m oe g d oe p
мөзгил	m oe z g i l
мөзгилде	m oe z g i l d e
мөзгилден	m oe z g i l d e n
мөзгилдин	m oe z g i l d i n
мөзгилиндеги	m oe z g i l i n d e g i
мөзгилиндегидей	m oe z g i l i n d e g i d e j
мөзгилинин	m oe z g i l i n i n
мөзгилсиз	m oe z g i l s i z
мөлт	m oe l t
мөлтүрөгөн	m oe l t y r oe g oe n
мөнен	m oe n e n
мөңгү	m oe ng g y
мөңкүп	m oe ng k y p
мөөнүңөн	m oe oe n y ng oe n
мөөнөтү	m oe oe n oe t y
мөөрөй	m oe oe r oe j
мөөрөйүн	m oe oe r oe j y n
н	n
наадандыкка	n a a d a n d ih q q a
нааданта	n a a d a n t a
наалат	n a a l a t
наам	n a a m
наамы	n a a m ih
наамына	n a a m ih n a
наар	n a a r
нааразы	n a a r a z ih
нааразыдыр	n a a r a z ih d ih r
набактыга	n a w a q t ih gh a
набат	n a w a t
набыш	n a w ih sh
назар	n a z a r
назданып	n a z d a n ih p
назик	n a z i к
найза	n a j z a
найзакерлер	n a j z a k e r l e r
найзакерлердин	n a j z a k e r l e r d i n
найзалар	n a j z a l a r
найзалары	n a j z a l a r ih
найзаларын	n a j z a l a r ih n
найзасы	n a j z a s ih
найзасын	n a j z a s ih n
найзасынын	n a j z a s ih n ih n
найзачылардын	n a j z a tsh ih l a r d ih n
нак	n a к
намаз	n a m a z
намазга	n a m a z gh a
намазынын	n a m a z ih n ih n
наманган	n a m a n gh a n
наманганга	n a m a n gh a n gh a
наманганда	n a m a n gh a n d a
намангандан	n a m a n gh a n d a n
наманганды	n a m a n gh a n d ih
намас	n a m a s
намасдигер	n a m a s d i g e r
намасдигерди	n a m a s d i g e r d i
намастан	n a m a s t a n
намасты	n a m a s t ih
намастын	n a m a s t ih n
намасшамдын	n a m a s sh a m d ih n
намасын	n a m a s ih n
намызына	n a m ih z ih n a
намыс	n a m ih s
намыскөй	n a m ih s k oe j
намыспы	n a m ih s p ih
намыстанар	n a m ih s t a n a r
намыстанат	n a m ih s t a n a t
намыстанганы	n a m ih s t a n gh a n ih
намыстанды	n a m ih s t a n d ih
намыстанып	n a m ih s t a n ih p
намыстуу	n a m ih s t u u
намысы	n a m ih s ih
намысын	n a m ih s ih n
намысына	n a m ih s ih n a
намысынан	n a m ih s ih n a n
нан	n a n
нанга	n a n gh a
нандан	n a n d a n
нанды	n a n d ih
нандын	n a n d ih n
нанын	n a n ih n
нарботиндин	n a r b o t i n d i n
наристе	n a r i s t e
нарк	n a r к
наркомпроско	n a r q o m p r o s q o
нары	n a r ih
нарыбери	n a r ih b e r i
нарылап	n a r ih l a p
нарылаткан	n a r ih l a t q a n
нарын	n a r ih n
насаа	n a s a a
насвай	n a s вa j
насиби	n a s i b i
насибим	n a s i b i m
насибинен	n a s i b i n e n
насибинин	n a s i b i n i n
насип	n a s i p
насипти	n a s i p t i
наспбиң	n a s p b i ng
насыбай	n a s ih w a j
насыбайдан	n a s ih w a j d a n
насыбайын	n a s ih w a j ih n
насыйкат	n a s ih j q a t
насыйкатты	n a s ih j q a t t ih
насыйкатын	n a s ih j q a t ih n
насыя	n a s ih j a
насыят	n a s ih j a t
насыяттар	n a s ih j a t t a r
насыяты	n a s ih j a t ih
насыятын	n a s ih j a t ih n
натыйжасын	n a t ih j zh a s ih n
начар	n a tsh a r
начарлай	n a tsh a r l a j
начарлап	n a tsh a r l a p
начармынбы	n a tsh a r m ih n b ih
не	n e
небереси	n e b e r e s i
небир	n e b i r
негизги	n e g i z g i
негизсиз	n e g i z s i z
неме	n e m e
немеге	n e m e g e
немелер	n e m e l e r
немелерди	n e m e l e r d i
немелердин	n e m e l e r d i n
немени	n e m e n i
неменин	n e m e n i n
немеси	n e m e s i
немецтер	n e m e ts t e r
немеңер	n e m e ng e r
нен	n e n
нерсе	n e r s e
нерсебиз	n e r s e b i z
нерсеге	n e r s e g e
нерседен	n e r s e d e n
нерселер	n e r s e l e r
нерселерге	n e r s e l e r g e
нерселерди	n e r s e l e r d i
нерсем	n e r s e m
нерсени	n e r s e n i
нерсенин	n e r s e n i n
нерсеси	n e r s e s i
нерсесин	n e r s e s i n
нерсесинен	n e r s e s i n e n
нес	n e s
несин	n e s i n
нече	n e tsh e
нечен	n e tsh e n
ниети	n i e t i
ниетим	n i e t i m
ниеттенгенин	n i e t t e n g e n i n
ниеттүү	n i e t t y y
нике	n i k e
никеге	n i k e g e
никелей	n i k e l e j
никелейден	n i k e l e j d e n
никелейиң	n i k e l e j i ng
никеленбегени	n i k e l e n b e g e n i
никелеп	n i k e l e p
никелер	n i k e l e r
никелүү	n i k e l y y
никесиз	n i k e s i z
николай	n i q o l a j
николайга	n i q o l a j gh a
николайдан	n i q o l a j d a n
николайды	n i q o l a j d ih
николайдын	n i q o l a j d ih n
ниязалы	n i j a z a l ih
ниязалыны	n i j a z a l ih n ih
ниязалысы	n i j a z a l ih s ih
нйчего	n j tsh e gh o
нквдга	n квd gh a
ноендору	n o e n d o r u
нокоттой	n o q o t t o j
ноктону	n o q t o n u
номерди	n o m e r d i
номурда	n o m u r d a
номурун	n o m u r u n
нооту	n o o t u
норузбай	n o r u z b a j
нота	n o t a
нотага	n o t a gh a
нотаны	n o t a n ih
нугу	n u gh u
нукумай	n u q u m a j
нукушуунун	n u q u sh u u n u n
нур	n u r
нурга	n u r gh a
нурланып	n u r l a n ih p
нурлары	n u r l a r ih
нурун	n u r u n
нуруна	n u r u n a
нурунун	n u r u n u n
нускалуу	n u s q a l u u
ныгыра	n ih gh ih r a
ныгыруунун	n ih gh ih r u u n u n
ныгырыла	n ih gh ih r ih l a
ныгырып	n ih gh ih r ih p
ныксырап	n ih q s ih r a p
ныктай	n ih q t a j
ныктап	n ih q t a p
нымдуу	n ih m d u u
нымтыраганын	n ih m t ih r a gh a n ih n
нымтырап	n ih m t ih r a p
нымшыган	n ih m sh ih gh a n
ныптасы	n ih p t a s ih
ныптасын	n ih p t a s ih n
ныптасына	n ih p t a s ih n a
нысабы	n ih s a w ih
нышты	n ih sh t ih
ныязалы	n ih j a z a l ih
ныязалынын	n ih j a z a l ih n ih n
нээти	n eh eh t i
нөз	n oe z
о	o
